article,sentence,label
2dSpAn semiautomated 2d segmentation classification and.txt,Availability and Implementation: The software and the source code are available at https:// sites.google.com/site/2dspan/,1
2dSpAn semiautomated 2d segmentation classification and.txt,"Existing tracing tools like, Filament Tracer (http://www.bitplane.com/imaris/filamenttracer), Amira (http://www.fei.com/software/amira-3d-for-life-sciences/), Eutectic NTS (http://neuronland.org/NLMorphologyConverter/ MorphologyFormats/Eutectics/Spec.html), 3DMA-Neuron (http:// www.ams.sunysb.edu/~lindquis/3dma/3dma_neuron/3dma_neuron",0
2dSpAn semiautomated 2d segmentation classification and.txt,"In the article, we briefly describe the theory behind the developed segmentation algorithm and highlight the main features of the 2dSpAn interface and software architecture",1
2dSpAn semiautomated 2d segmentation classification and.txt,"Finally, we conclude with a discussion on open-source software development, limitations and future plans.",0
2dSpAn semiautomated 2d segmentation classification and.txt,We are currently working on that issue and hope to improve the same in the upcoming version of the software,1
2dSpAn semiautomated 2d segmentation classification and.txt,"Finally, on the availability of the developed software, we would like to mention that the complete open-source, platform-independent package is available at https:// sites.google.com/site/2dspan/ for non-commercial use by the research community.",1
2Struc the secondary structure server.txt,The aim of the 2Struc server is to provide easy access to the information produced by a variety of these SSE assignment tools,1
3Dmoljs molecular visualization with WebGL.txt,"3Dmol.js is a modern, object-oriented JavaScript library that uses the latest web technologies to provide interactive, hardware-accelerated three-dimensional representations of molecular data without the need to install browser plugins or Java",1
3Dmoljs molecular visualization with WebGL.txt,Availability and implementation: 3Dmol.js is distributed under the permissive BSD open source license,1
3DRobot automated generation of diverse and.txt,Algorithms that can automatically create such diverse and well-packed non-native conformations from any protein structure should have a broad impact on the development of advanced protein force field and folding simulation methods,0
3DRobot automated generation of diverse and.txt,"In this work, we aim to develop a new algorithm, 3DRobot, dedicated for high-quality protein decoy generation by the extension of I-TASSER-based fragment structure assembly simulations",1
3FunMap fullsib family functional mapping of.txt,"Functional mapping integrates mathematical aspects of trait development into a QTL mapping framework, enabling geneticists to test the interplay between gene action and development.packed functional mapping into a web-based platform, FunMap, for a mapping population derived from inbred lines",0
3FunMap fullsib family functional mapping of.txt,"Here, we report a new package of Windows software, 3FunMap, which conducts functional mapping of dynamic QTLs segregating in a full-sib family derived from two heterozygous parents",1
3FunMap fullsib family functional mapping of.txt,"DISCUSSIONWe described a Windows software, 3FunMap, to perform functional mapping in a full-sib family by considering unique outcrossing characteristics of heterozygous parents",1
3FunMap fullsib family functional mapping of.txt,"To our best knowledge, this is a first package of software that can handle dynamic QTL segregation in a full-sib family in a comprehensive way",1
4DGenome a comprehensive database of chromatin.txt,Availability and Implementation: 4Dgenome is freely accessible at http://4dgenome.int-med.uiowa.edu.,1
A Bayesian approach to targeted experiment.txt,Availability and implementation: Source code is available at: http://bmi.bmt.tue.nl/sysbio/software/pua.html,1
A Bayesian approach using covariance of.txt,"Availability and implementation: The PBF approach has been implemented in the BALD (Bayesian analysis of LD differences) C++ software, and is available from http://homepages.lshtm.ac .uk/tgclark/downloads Contact:",1
A Bayesian framework for de novo.txt,"Availability and implementation: The Cþþ source code implementing TrioDeNovo is freely available at https://medschool.vanderbilt.edu/cgg.",1
A Bayesian framework for de novo.txt,The C source code implementing TrioDeNovo and related resources are available on the authors' website (https:// medschool.vanderbilt.edu/cgg).,1
A Bayesian method for 3D macromolecular.txt,"Availability: The software and source code for this method is available for download from our website: http://compbio.cs.toronto .edu/cryoem/ Contact:",1
A benchmark for comparison of cell.txt,"Availability and implementation: The challenge Web site (http:// www.codesolorzano.com/celltrackingchallenge) provides access to the training and competition datasets, along with the ground truth of the training videos",1
A benchmark for comparison of cell.txt,"It also provides access to Windows and Linux executable files of the evaluation software and most of the algorithms that competed in the challenge.",1
A biclustering algorithm for extracting bitpatterns.txt,"For example, when working with gene and protein features, if gene r encodes a protein that belongs to a protein of class c, then r,c is equal to 1; otherwise, it is equal to 0 ()",0
A biclustering algorithm for extracting bitpatterns.txt,"Commonly, the binary values 1 and 0 mean that under experimental condition c, gene r is either expressed or not, respectively ()",0
A bioimage informatics approach to automatically.txt,"Availability and implementation: The Matlab toolbox is freely available through the Oxford e-Research Centre website: http://www.oerc .ox.ac.uk/research/bioimage/software Contacts:",1
A bioinspired computing model for ovarian.txt,"In recent years, the bio-inspired algorithm has become increasingly useful as an optimization tool ()",1
A bioinspired computing model for ovarian.txt,"a discretized food source for an artificial bee colony (DfABC) algorithm, to an SVM model to develop a hybrid DfABCSVM classification model which achieves fast convergence and has good prediction capability when handling complex and varying types of ovarian cancer datasets",1
A bioinspired computing model for ovarian.txt,"This research seeks to develop a new bio-inspired algorithm to quickly search for specific ovarian cancer biomarkers, which is typically a laborious process, and the resulting specificity and sensitivity is typically insufficient for the early detection of ovarian cancer",1
A bioinspired computing model for ovarian.txt,We believe that our discovery of new stage-specific genes can allow for the development of a rapid screening platform for oncogenes and thus improve early diagnosis of various types of cancer.,1
A C library for retrieving specific.txt,Availability and implementation: The library is open-source and dual licensed under the Mozilla Public License Version 2.0 and GNU General Public License Version 2.0,1
A cellbased simulation software for multicellular.txt,CellSys is a modular software tool for efficient off-lattice simulation of growth and organization processes in multi-cellular systems in 2D and 3D,1
A cellbased simulation software for multicellular.txt,Availability: CellSys is freely available for non-commercial use at http://msysbio.com/software/cellsys,1
A cellbased simulation software for multicellular.txt,"Here we present an adaptable software tool (named CellSys) that implements a class of lattice-free agent-based models permitting realistic simulations of tissue growth and organization processes of common experimental settings in vitro, as the growth dynamics in monolayer cultures and multi-cellular spheroids (Drasdo and * To whom correspondence should be addressed.)",1
A changepoint model for identifying 3UTR.txt,"Availability and implementation: The software is implemented in Java and can be freely downloaded from http://utr.sourceforge.net/.",1
A changepoint model for identifying 3UTR.txt,The methods developed in this article have been implemented using Java in a computationally efficient and user-friendly software package available from http://utr.sourceforge.net/,1
A classification approach for DNA methylation.txt,"Availability and implementation: The proposed procedures are implemented in R and are available at http://www.stat.purdue.edu/",1
A classification approach for DNA methylation.txt,"Although the application of these platforms enables comprehensive DNA methylation profiling at economical cost, they can only interrogate C sites of given regions at moderate resolution",0
A classification model for GtoA hypermutation.txt,"Availability: Source code and sequence data are available at http://hivdb.stanford.edu/pages/resources.html",1
A coalescentbased method for population tree.txt,"Availability and implementation: The population tree inference method STELLS H has been implemented as part of the STELLS program",1
A combinatorial approach for analyzing intratumor.txt,We show that finding a BTP is an NP-complete problem; derive an approximation algorithm for an optimization version of the problem; and present a recursive algorithm to find a BTP with errors in the input,1
A combinatorial approach for analyzing intratumor.txt,"Availability and implementation: Python and MATLAB implementations of our method are available at http://compbio.cs.brown.edu/software/",1
A combinatorial approach for analyzing intratumor.txt,"This recursive algorithm is fast in practice and runs in less than a minute, on a single CPU, for each of our simulated or real samples.",1
A combinatorial approach to graphlet counting.txt,"Availability and implementation: Source code is available freely at http://www.biolab.si/supp/orca/orca.html",1
A combinatorial approach to the peptide.txt,"Although ad hoc software tools exist for the feature matching, the definition of a combinatorial model for this problem is still not available",1
A combinatorial approach to the peptide.txt,An immediate one is that the final outcome of the algorithms is unpredictable without running the software on a specific input,1
A combinatorial approach to the peptide.txt,"As such, the performance of the algorithm remains at the mercy of the implementation details such as the choice of (many) parameters and sometimes even special considerations hard-coded in the software by a junior programmer to handle a special case of the training (and testing) data",1
A combinatorial approach to the peptide.txt,"The separation of the problem formulation, the algorithm development and the program implementation can help reduce the aforementioned overfitting tendency",1
A combinatorial approach to the peptide.txt,"And the algorithm development should strive to compute a solution that meets the specified property, instead of fitting the data that happen to be in the researcher's hands",1
A common layer of interoperability for.txt,"Availability and implementation: The EL Vira software is available from http://el-vira.googlecode.com",1
A comodule approach for elucidating drugdisease.txt,"Availability: The compiled version of comCIPHER can be found at",1
A comparative analysis of algorithms for.txt,"Availability: Data accession number SRA081939, code at",1
