sentence,label
Availability and Implementation: The software and the source code are available at https://sites. google.com/site/2dspan/.,"1
"
"Existing tracing tools like, Filament Tracer (http://www.bitplane.com/imaris/filamenttracer), Amira (http://www.fei.com/software/amira-3d-for-life-sciences/), Eutectic NTS (http://neuronland.org/NLMorphologyConverter/ morphology formats eutectic s spec html 3dma neuron (http:// wwwamssunysbedulindquis3 dma3dmaneuron3dma neuron.","0
"
"In the article, we briefly describe the theory behind the developed segmentation algorithm and highlight the main features of the 2dSpAn interface and software architecture.","1
"
"Finally, we conclude with a discussion on open source software development, limitations and future plans..","0
"
"To assess the efficacy of the developed tool, we first analyzed dendritic spine structural changes with respect to two image datasets, before and after c ltp.","1
"
We are currently working on that issue and hope to improve the same in the upcoming version of the software.,"1
"
"Finally, on the availability of the developed software, we would like to mention that the complete open source platform independent package is available at https://sites googlecom site 2dspan for non-commercial use by the research community..","1
"
The aim of the 2Struc server is to provide easy access to the information produced by a variety of these SSE assignment tools.,"1
"
"3Dmol.js is a modern, object oriented JavaScript library that uses the latest web technologies to provide interactive, hardware accelerated three dimensional representations of molecular data without the need to install browser plugins or Java.","1
"
Availability and implementation: 3Dmol.js is distributed under the permissive BSD open source license.,"1
"
Algorithms that can automatically create such diverse and well packed non-native conformations from any protein structure should have a broad impact on the development of advanced protein force field and folding simulation methods.,"0
"
"In this work, we aim to develop a new algorithm, 3d robot dedicated for high quality protein decoy generation by the extension of it asser based fragment structure assembly simulations.","1
"
"Functional mapping integrates mathematical aspects of trait development into a QTL mapping framework, enabling geneticists to test the interplay between gene action and development packed functional mapping into a web based platform, fun map for a mapping population derived from inbred lines.","0
"
"Here, we report a new package of Windows software, 3FunMap, which conducts functional mapping of dynamic QTLs segregating in a full sib family derived from two heterozygous parents.","1
"
"discussion we described a Windows software, 3FunMap, to perform functional mapping in a full sib family by considering unique outcrossing characteristics of heterozygous parents.","0
"
"To our best knowledge, this is a first package of software that can handle dynamic QTL segregation in a full sib family in a comprehensive way.","1
"
Availability and Implementation: 4d genome is freely accessible at http://4dgenome.int-med. uiowa.edu.,"1
"
Availability and implementation: Source code is available at:.,"1
"
"Availability and implementation: The PBF approach has been implemented in the BALD (Bayesian analysis of LD differences) C++ software, and is available from http://homepages.lshtm.ac uk tg clark downloads Contact:.","1
"
Availability and implementation: The Cþþ source code implementing trio de novo is freely available at https://medschool.vanderbilt.edu/cgg..,"1
"
The C source code implementing trio de novo and related resources are available on the authors' website (https:// med school vanderbilt educ gg.,"1
"
Availability: The software and source code for this method is available for download from our website: http://compbio.cs.toronto edu cry oem Contact:.,"1
"
"Availability and implementation: The challenge Web site (http:// www code solorzano com cell tracking challenge provides access to the training and competition datasets, along with the ground truth of the training videos.","1
"
It also provides access to Windows and Linux executable files of the evaluation software and most of the algorithms that competed in the challenge..,"1
"
"For example, when working with gene and protein features, if gene r encodes a protein that belongs to a protein of class c, then r,c is equal to 1; otherwise, it is equal to 0 ().","0
"
"Commonly, the binary values 1 and 0 mean that under experimental condition c, gene r is either expressed or not, respectively ().","0
"
Availability and implementation: The Matlab toolbox is freely available through the Oxford e research Centre website: http://www.oerc ox ac uk research bio image software Contacts:.,"1
"
"In recent years, the bio inspired algorithm has become increasingly useful as an optimization tool ().","0
"
"a discretized food source for an artificial bee colony df abc algorithm, to an SVM model to develop a hybrid df abc svm classification model which achieves fast convergence and has good prediction capability when handling complex and varying types of ovarian cancer datasets.","0
"
"This research seeks to develop a new bio inspired algorithm to quickly search for specific ovarian cancer biomarkers, which is typically a laborious process, and the resulting specificity and sensitivity is typically insufficient for the early detection of ovarian cancer.","1
"
We believe that our discovery of new stage specific genes can allow for the development of a rapid screening platform for oncogenes and thus improve early diagnosis of various types of cancer..,"1
"
Availability and implementation: The library is open source and dual licensed under the Mozilla Public License Version 2.0 and GNU General Public License Version 2.0.,"1
"
cell sys is a modular software tool for efficient off lattice simulation of growth and organization processes in multi-cellular systems in 2D and 3D.,"1
"
Availability: cell sys is freely available for non-commercial use at http://msysbio.com/software/cellsys.,"1
"
"Here we present an adaptable software tool (named cell sys that implements a class of lattice free agent based models permitting realistic simulations of tissue growth and organization processes of common experimental settings in vitro, as the growth dynamics in monolayer cultures and multi-cellular spheroids dr as do and * To whom correspondence should be addressed.).","1
"
Availability and implementation: The software is implemented in Java and can be freely downloaded from http://utr.sourceforge.net/..,"1
"
The methods developed in this article have been implemented using Java in a computationally efficient and user friendly software package available from http://utr.sourceforge.net/.,"1
"
Availability and implementation: The proposed procedures are implemented in R and are available at.,"1
"
"Although the application of these platforms enables comprehensive DNA methylation profiling at economical cost, they can only interrogate C sites of given regions at moderate resolution.","0
"
Availability: Source code and sequence data are available at.,"1
"
Availability and implementation: The population tree inference method s tells H has been implemented as part of the s tells program.,"1
"
We show that finding a BTP is an np complete problem; derive an approximation algorithm for an optimization version of the problem; and present a recursive algorithm to find a BTP with errors in the input.,"1
"
Availability and implementation: Python and MATLAB implementations of our method are available at.,"1
"
"This recursive algorithm is fast in practice and runs in less than a minute, on a single CPU, for each of our simulated or real samples..","1
"
Availability and implementation: Source code is available freely at:.,"1
"
"Although ad hoc software tools exist for the feature matching, the definition of a combinatorial model for this problem is still not available.","0
"
An immediate one is that the final outcome of the algorithms is unpredictable without running the software on a specific input.,"0
"
"As such, the performance of the algorithm remains at the mercy of the implementation details such as the choice of (many) parameters and sometimes even special considerations hard-coded in the software by a junior programmer to handle a special case of the training (and testing) data.","1
"
"The separation of the problem formulation, the algorithm development and the program implementation can help reduce the aforementioned overfitting tendency.","1
"
